source_material_code,description,uom,specifications,source_system
BPCL-1133,CENTRIFUGAL PUMP SINGLE STAGE END SUCTION DN 150 X DN 100 RATING 16 BAR DUCTILE IRON DI,EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1134,"SEAMLESS PIPE 6"" SCH 40 API 5L GRADE B THREADED",M,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1135,"BALL VALVE 6"" 150# DUPLEX 2205 FLOATING",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1136,"8"" BLIND FLANGE ASTM A182 F316L 600LBS ASME B16.5",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1137,"BLIND FLANGE 8"" 150# ASTM A350 LF2 SMOOTH FINISH",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1138,"RTJ FACING BLIND FLANGE, 8"", 600LBS, ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1139,CENTRIFUGAL PUMP DN 80 X DN 50 40 BAR DUCTILE IRON DI MULTI STAGE,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1140,"BLIND FLANGE RAISED FACE 8"" RATING 600# ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1141,"RTJ FACING BLIND FLANGE, 8"", 150#, ASTM A182 F316L",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1142,"BLIND FLANGE 4"" 150# ASTM A182 F316L RAISED FACE",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1143,"3"" GATE VALVE SS 316L 900# API 602",EA,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1144,"WELD NECK FLANGE 8"" 150# ASTM A182 F316L FLAT FACE",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1145,"RAISED FACE WELD NECK FLANGE, 12"", 600LBS, ASTM A105",EA,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1146,"10"" SEAMLESS PIPE ASTM A312 TP316L SCH 80 ASTM A53",MTR,"ASTM A53 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1147,"3"" BALL VALVE ASTM A216 WCB 300LBS API 608",NOS,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1148,"2"" BALL VALVE SS 304 150# API 608",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1149,"RAISED FACE WELD NECK FLANGE, 10"", 1500#, ASTM A182 F316L",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1150,CENTRIFUGAL PUMP DN 100 X DN 80 40 BAR DUCTILE IRON DI HORIZONTAL SPLIT CASE,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1151,"PTFE FILLER SPIRAL WOUND GASKET, 3"", 900#, SS 304 WINDINGS",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1152,"CADMIUM PLATED STUD BOLT, 5/8"" X 3.5"", CLASS 2A/2B, ASTM A193 GRADE B7 WITH A194 2H",SET,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1153,"2"" WELD NECK FLANGE ASTM A350 LF2 600# ASME B16.5",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1154,"8"" BLIND FLANGE ASTM A350 LF2 300# ASME B16.5",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1155,"3/4"" X 4.5"" STUD BOLT ASTM A193 B8M WITH A194 8M CLASS 2A/2B ASME B18.2.2",NOS,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1156,"RAISED FACE WELD NECK FLANGE, 6"", 1500#, ASTM A182 F304L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1157,"BALL VALVE 2-PIECE 2"" RATING 150 LB SS 304",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1158,"GATE VALVE 3"" 150# ASTM A350 LF2 FLEXIBLE WEDGE",NOS,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1159,"FLOATING BALL VALVE, 1"", 900#, ASTM A216 WCB",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1160,"FULLY THREADED STUD BOLT, 1"" X 6.5"", CLASS 2A/2B, ASTM A320 L7",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1161,"1"" X 6.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1162,"WELD NECK FLANGE 3"" 600# ASTM A182 F304L RING TYPE JOINT",EACH,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1163,"STUD BOLT 5/8"" X 3.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H CADMIUM PLATED",SET,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1164,"BLIND FLANGE SMOOTH FINISH 8"" RATING 150# ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1165,WELD NECK FLANGE RING TYPE JOINT 2 INCH RATING 600# ASTM A350 LF2,NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1166,"BLIND FLANGE RAISED FACE 8"" RATING CL 600 ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1167,WELD NECK FLANGE FLAT FACE 6IN RATING 150# ASTM A182 F304L,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1168,BALL VALVE FLOATING DN150 RATING 150# DUPLEX 2205,NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1169,"SINGLE STAGE END SUCTION CENTRIFUGAL PUMP, DN 150 X DN 100, 16 BAR, DUCTILE IRON DI",EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1170,"FLOATING BALL VALVE, 1"", 900#, ASTM A216 WCB",NUMBER,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1171,DN 80 X DN 50 CENTRIFUGAL PUMP DUCTILE IRON DI 40 BAR ISO 2858,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1172,CENTRIFUGAL PUMP HORIZONTAL SPLIT CASE DN 80 X DN 50 RATING 16 BAR STAINLESS STEEL 316,NOS,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1173,DN100 WELD NECK FLANGE ASTM A182 F316L 600# ASME B16.47,NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1174,CENTRIFUGAL PUMP DN 80 X DN 50 40 BAR DUCTILE IRON DI MULTI STAGE,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1175,"RAISED FACE WELD NECK FLANGE, 4"", 600#, ASTM A182 F316L",NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1176,"1/2"" BALL VALVE SS 316 900# API 608",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1177,CENTRIFUGAL PUMP SINGLE STAGE END SUCTION DN 80 X DN 50 RATING 40 BAR CAST IRON CI,SET,"ISO 5199 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1178,"WITH 2 HEAVY HEX NUTS STUD BOLT, 7/8"" X 5.5"", CLASS 2A/2B, ASTM A193 B8M WITH A194 8M",NUMBER,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1179,"BALL VALVE 10"" 600LBS ASTM A216 WCB FULL BORE",SET,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1180,"1/2"" BALL VALVE ASTM A350 LF2 600# API 6D",PC,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1181,"MULTI STAGE CENTRIFUGAL PUMP, DN 150 X DN 100, 16 BAR, DUCTILE IRON DI",EA,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1182,GATE VALVE FLEXIBLE WEDGE 2 INCH RATING 1500# ASTM A216 WCB,EA,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1183,"BALL VALVE 3-PIECE 2"" RATING 1500# SS 316",NUMBER,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1184,"7/8"" X 5.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1185,"6"" SEAMLESS PIPE API 5L GRADE B SCH 40 API 5L",MTR,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1186,"7/8"" X 5.5"" STUD BOLT ASTM A193 GRADE B7 WITH A194 2H CLASS 2A/2B ASME B18.2.2",EA,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1187,"SPIRAL WOUND GASKET 3"" 900# SS 304 WINDINGS PTFE FILLER",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1188,"STUD BOLT 1"" X 6.5"" CLASS 2A/2B ASTM A320 L7 FULLY THREADED",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1189,"BLIND FLANGE 8"" CLASS 600 ASTM A182 F316L RTJ FACING",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1190,"8"" SPIRAL WOUND GASKET SS 316L WINDINGS WITH CS OUTER RING 900# ASME B16.20",PCS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1191,"SPIRAL WOUND GASKET PTFE FILLER 3"" RATING 900# SS 304 WINDINGS",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1192,"BLIND FLANGE SMOOTH FINISH 8"" RATING 600# ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1193,DN 150 X DN 100 CENTRIFUGAL PUMP DUCTILE IRON DI 16 BAR ISO 2858,EA,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1194,"RTJ FACING BLIND FLANGE, 10"", 300#, ASTM A350 LF2",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1195,"STUD BOLT 3/4"" X 4.5"" CLASS 2A/2B ASTM A320 L7 WITH 2 HEAVY HEX NUTS",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1196,"FLEXIBLE WEDGE GATE VALVE, 6"", 600#, SS 316L",NUMBER,"API 600 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1197,CENTRIFUGAL PUMP DN 50 X DN 32 16 BAR STAINLESS STEEL 316 HORIZONTAL SPLIT CASE,SET,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1198,"BALL VALVE 10"" 900# DUPLEX 2205 TRUNNION MOUNTED",NOS,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1199,"BLIND FLANGE 10"" CLASS 300 ASTM A105 SMOOTH FINISH",EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1200,DN50 BLIND FLANGE ASTM A350 LF2 300# ASME B16.5,EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1201,"2-PIECE BALL VALVE, 2"", 150#, SS 304",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1202,"HORIZONTAL SPLIT CASE CENTRIFUGAL PUMP, DN 100 X DN 80, 40 BAR, DUCTILE IRON DI",PC,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1203,"GATE VALVE 2"" 300 LB ASTM A350 LF2 BOLTED BONNET",PC,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1204,"STUD BOLT 7/8"" X 5.5"" CLASS 2A/2B ASTM A320 L7 WITH 2 HEAVY HEX NUTS",SET,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1205,"BALL VALVE 1-1/2"" 1500# SS 316 3-PIECE",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1206,"BALL VALVE 2-PIECE 2"" RATING 150 LB SS 304",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1207,DN 150 X DN 100 CENTRIFUGAL PUMP DUCTILE IRON DI 16 BAR API 610,EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1208,"2-PIECE BALL VALVE, 2"", 150#, SS 304",SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1209,"SMOOTH FINISH BLIND FLANGE, 3"", 300LBS, ASTM A105",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1210,3 INCH GATE VALVE SS 316L 900# API 602,NUMBER,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1211,"RING TYPE JOINT WELD NECK FLANGE, 2"", 600#, ASTM A350 LF2",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1212,"BALL VALVE 1/2"" 600# ASTM A350 LF2 TRUNNION MOUNTED",EA,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1213,"BALL VALVE 3-PIECE 1-1/2"" RATING 1500# SS 316",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1214,"WELD NECK FLANGE 3"" 600# ASTM A182 F304L RING TYPE JOINT",NOS,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1215,"FULLY THREADED STUD BOLT, 1"" X 6.5"", CLASS 2A/2B, ASTM A320 L7",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1216,"BLIND FLANGE RAISED FACE 8"" RATING 600LBS ASTM A350 LF2",EACH,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1217,"BALL VALVE FLOATING 8"" RATING 1500# SS 316",NOS,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1218,SEAMLESS PIPE THREADED 6 INCH RATING SCH 40 API 5L GRADE B,MTR,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1219,"BALL VALVE TRUNNION MOUNTED 1/2"" RATING 600# ASTM A350 LF2",PC,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1220,"STUD BOLT 5/8"" X 3.5"" CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H ZINC PLATED",NOS,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1221,BALL VALVE 2-PIECE 2IN RATING 150 LB SS 304,SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1222,"GATE VALVE RISING STEM 3"" RATING 900# SS 316L",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1223,BLIND FLANGE DN100 150# ASTM A182 F316L RAISED FACE,NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1224,"FULL BORE BALL VALVE, 1/2"", 1500#, SS 304",NUMBER,"ASME B16.34 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1225,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 25 BAR BRONZE,EA,"API 610 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1226,"WITH 2 HEAVY HEX NUTS STUD BOLT, 3/4"" X 4.5"", CLASS 2A/2B, ASTM A320 L7",EA,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1227,"SINGLE STAGE END SUCTION CENTRIFUGAL PUMP, DN 100 X DN 80, 40 BAR, DUCTILE IRON DI",NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1228,"BLIND FLANGE SMOOTH FINISH 2"" RATING 150# ASTM A182 F316L",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1229,"6"" WELD NECK FLANGE ASTM A182 F304L 1500# ASME B16.5",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1230,BLIND FLANGE SMOOTH FINISH 3 INCH RATING CLASS 300 ASTM A105,PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1231,"WELD NECK FLANGE RAISED FACE 12"" RATING CL 600 ASTM A105",EA,"DIN 2633 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1232,"TRUNNION MOUNTED BALL VALVE, 1/2"", 600#, ASTM A350 LF2",EA,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1233,"RTJ FACING BLIND FLANGE, 8"", 300#, ASTM A182 F316L",PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1234,CENTRIFUGAL PUMP MULTI STAGE DN 80 X DN 50 RATING 40 BAR DUCTILE IRON DI,NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1235,BALL VALVE 2 IN 150# SS 304 2-PIECE,SET,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1236,"BLIND FLANGE 8"" 600# ASTM A182 F316L RTJ FACING",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1237,DN 150 X DN 100 CENTRIFUGAL PUMP DUCTILE IRON DI 16 BAR ISO 2858,EA,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1238,"WELD NECK FLANGE 6"" 150# ASTM A182 F304L FLAT FACE",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1239,"BALL VALVE 3-PIECE 1/2"" RATING 900# SS 316",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1240,"1"" X 6.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1241,"MULTI STAGE CENTRIFUGAL PUMP, DN 80 X DN 50, 25 BAR, STAINLESS STEEL 316",EA,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1242,"STUD BOLT CADMIUM PLATED 5/8"" X 3.5"" RATING CLASS 2A/2B ASTM A193 GRADE B7 WITH A194 2H",SET,"ASME B18.2.2 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1243,"BLIND FLANGE RAISED FACE 8"" RATING 600# ASTM A350 LF2",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1244,GATE VALVE 4IN 900# ASTM A350 LF2 RISING STEM,EA,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1245,"1"" X 6.5"" STUD BOLT ASTM A320 L7 CLASS 2A/2B ASME B18.2.1",NOS,"ASME B18.2.1 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1246,GATE VALVE DN100 900# ASTM A350 LF2 RISING STEM,EA,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1247,"RISING STEM GATE VALVE, 4"", 900#, ASTM A350 LF2",EACH,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1248,"PTFE FILLER SPIRAL WOUND GASKET, 4 IN, 300LBS, SS 304 WINDINGS",NUMBER,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1249,"3-PIECE BALL VALVE, 1/2"", 900#, SS 316",NUMBER,"API 608 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1250,WELD NECK FLANGE 2 INCH 600# ASTM A350 LF2 RING TYPE JOINT,NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1251,CENTRIFUGAL PUMP HORIZONTAL SPLIT CASE DN 100 X DN 80 RATING 40 BAR DUCTILE IRON DI,EACH,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1252,"BLIND FLANGE RTJ FACING 8"" RATING CLASS 150 ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1253,CENTRIFUGAL PUMP DN 150 X DN 100 16 BAR DUCTILE IRON DI MULTI STAGE,EA,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1254,"WELD NECK FLANGE RING TYPE JOINT 2"" RATING 600 LB ASTM A350 LF2",NUMBER,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1255,"BLIND FLANGE 10"" 300LBS ASTM A105 SMOOTH FINISH",EA,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1256,"BLIND FLANGE 4"" CL 150 ASTM A182 F316L RAISED FACE",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1257,"10"" BALL VALVE ASTM A350 LF2 600# BS 5351",NOS,"BS 5351 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1258,"WEDGE TYPE GATE VALVE, 6"", 600#, ASTM A217 WC6",EA,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1259,"RAISED FACE WELD NECK FLANGE, 4"", CLASS 600, ASTM A182 F316L",NUMBER,"ASME B16.47 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1260,BLIND FLANGE RTJ FACING 2 INCH RATING 300# ASTM A350 LF2,PC,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1261,"6"" SEAMLESS PIPE API 5L GRADE B SCH 40 API 5L",MTR,"API 5L SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1262,"GATE VALVE 6"" CL 600 ASTM A217 WC6 WEDGE TYPE",PC,"API 602 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1263,"BALL VALVE 3-PIECE 1-1/2"" RATING 1500# SS 316",SET,"API 6D SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
HPCL-1264,4 INCH SPIRAL WOUND GASKET SS 304 WINDINGS 300# ASME B16.20,NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_HPCL
ONGC-1265,"MULTI STAGE CENTRIFUGAL PUMP, DN 80 X DN 50, 40 BAR, DUCTILE IRON DI",NOS,"ISO 2858 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_ONGC
IOCL-1266,"SPIRAL WOUND GASKET 4"" 300# SS 304 WINDINGS PTFE FILLER",NOS,"ASME B16.20 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_IOCL
GAIL-1267,"BLIND FLANGE RTJ FACING 8"" RATING 600 LB ASTM A182 F316L",NOS,"ASME B16.5 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_GAIL
BPCL-1268,"SEAMLESS PIPE THREADED 10"" RATING SCH 80 ASTM A312 TP316L",LENGTH,"ASTM A53 SPEC COMPLIANT, TESTING AS PER RELEVANT STANDARD",SAP_BPCL
